session_id,entropy
03jt2p4bdru20sjb9me2gco6j4,3.12192809488736
071tbv7fsev5d64kb0f9jieor6,3.2210972500579533
094i85crhkpkhqpi3rl4athrn4,2.8954238702803123
0ht0u328t4mkgi01sp7mm07e01,2.4464393446710138
0i5kvpslrq3vb6u8ff2kuejv0v,3.452819531114779
0ikgnsdpp5jt1qd7fro2va4oka,2.749999999999998
0jfeqj4kpolvb97o2s5ks7l0j4,3.7216117239698967
0oa2dua3mli7mrr32c0gd4o0i2,2.5216406363433164
0ogg5l1i4nh37ek8mjpn8q9fc0,1.4999999999999991
0oi4fvkqd1acu5g08vep8eefqg,2.584962500721154
0p0kaqfmftrtfg0u12rkshrdi9,3.12192809488736
0pcr6mashfodserb90cq3p04uf,2.4956029237290105
0sejj3er3n0v1sfjv2jbnhaav4,2.3709505944546665
0ucre4qu5jiho5kbjq61hr495f,3.408694969562838
0uhr32hgcllradm0p6b15371gi,4.196439344671009
0vkricl80bt5v7n2s6bbhvlvk3,2.845350936622434
124nsuu4makfggp1h3ametehri,2.419381945646369
16r8lv9fabgjk06di8usnmu9ni,2.816340113853405
1afcff96kgdbmevi5aemi5mkuj,2.866247897312728
1aqgqrcuurlmvvbbpirvsh7e53,3.2516291673878195
1c1h9oumn2pa0pb04v8f6fn515,2.299896391167889
1g4h4vh4d2uv360aoo55b086hd,2.7086949695628393
1gpqg899dn1eafk0j474koislc,2.706890595608516
1hv0rajig2vijia10tvjvhq12e,3.852168723603276
1j8bfg4kkf15a9oj1igr147ol2,4.359377914716113
1jtqu9bvu7bii5p6kcsbgqbqa3,2.8522170014624795
1m7s5287lpll34gm0amdciqvb5,1.9362600275315263
1mvlnshabcf3gbr9subps50a00,3.8868421881310065
1nbs17btpqhl48dfu2nklqhffq,1.9749375012019255
1nufffs0sri7c3ere47b9i5srv,2.3709505944546665
1onh1ot5pr6j6g739m8cp5dfj0,2.565448371820823
1r170g6lqfoff21od5nn9f976a,3.095795255000931
1sijirkrahu3j2dp0qmb78691l,3.341446071165518
1ttvuqau08dh4t1cjg50pr2298,2.6703397002311045
1u41k0lehrsbt97q0pe4knpa6c,2.217021885879716
20054o9vd2q32sqnc3g6kj17om,2.8731406795131305
26v7bi8e0oc7p58e3s9v8eic9f,3.452819531114779
27479tfiqfgi99u7r4vq0q33db,3.0086949695628387
2cod58pj6b57pun9fl0vhiqoia,2.8225797618424893
2h80p3ff9jpfboaddjevmi55rs,3.5724312513221155
2ing4ldnnd40og2ej20qnsesbb,4.2484952555254045
2j54lp7l4tosj8qtp2jaq0654a,3.69011651759366
2k97re4f45gl0ktl40bav6lfqf,2.7254805569978653
2l614ncb4kp7p6q9b0a5ln3ao6,3.26393342948563
2ojc0m4iu85a1fggs34ppevk2k,2.749999999999998
2s8fa1s8oe1rqsf0ddm7m9q7da,2.8163075192246416
2vhdk7kkt7dtos2hn1fnlkf9ee,3.026986833359284
30jcp3kes0o21ej00145hji0gi,2.7534343861887822
36m3d3mt4dfs9shoptldptokbe,2.92192809488736
36rja5utab0pakj5136bi7rkop,4.773876560199213
37f112qml42d33pentjpilckno,3.1808329872054375
38n32l6uepd8e4gvce8gaaeiuq,3.824862957617351
3ctnavj7r6jrdpq5q0n8s7s4l1,3.024397470347696
3d46kbg48go8hu4srfkogn5p27,3.221928094887359
3dlhqa29pdkpur5c0fh3a1gcga,4.308270834535253
3e1l4pk01sc0ailn31s1mk5482,2.4996981431844123
3io4o9tlg7fa20l20kbidpqh7f,2.7516291673878204
3n5tfsl313lu7d2r708qdqtqe0,2.7516291673878204
3nc17617gvarormtprojm161k4,2.413799564605678
3p31i0ob3gn1isfdhbjeuc5j0p,5.431047597503818
3p6scp5rnqun6k08tnudv5gacg,2.8453509366224337
3p8qp6np717jbhmhu8329s9nb6,2.584962500721154
3qfgfasvf42im2b2pba7hlhvdq,2.3219280948873604
3r9cb69qg00fac5os9au9a745h,2.4130884364257557
3uqepgd76f9ecnauehcl4sucbh,3.260828171224452
453lvg24j5relktbluq4s08um3,2.815922063835164
49rbuft0lmtfjd3qn70np3lk51,3.5778195311147787
49smdeovekeq8fgrnfejp533r3,2.947702779220087
4bnqt73v1q2ofhu8uj797irb7a,2.3219280948873604
4fo576p1kf4i1frb6s4c07q3pp,3.039148671903068
